file	violations	top_rules
repo_analysis.txt	112	internal_phase_refs,personal_identifiers,agent_terms
docs/implementation/GIT_HISTORY_20250831-010730.md	93	personal_identifiers,triple_backticks_in_docs,agent_terms
docs/audit/branch_divergence_2025-09-11_18-06-00.txt	34	triple_backticks_in_docs,personal_identifiers,internal_phase_refs
docs/agent/AGENT_TLA_GUIDE.md	26	triple_backticks_in_docs
docs/agent/AGENT_OPERATING_CORE.md	24	triple_backticks_in_docs,agent_terms
docs/agent/AGENT_OPERATING_GUIDE.md	24	triple_backticks_in_docs,agent_terms
docs/reference/darf-mvp-theory-complete.md	24	triple_backticks_in_docs,multi_agent_exposure
docs/process/adr-type-system.md	18	triple_backticks_in_docs
README.md	16	triple_backticks_in_docs,personal_identifiers,internal_phase_refs
docs/audit/branch_divergence_2025-09-11_18-09-37.txt	13	internal_phase_refs,personal_identifiers,agent_terms
docs/reference/updated_repository_structure_for_janus_adr_system.md	13	triple_backticks_in_docs,agent_terms,multi_agent_exposure
docs/agent/AGENT_PEER_REVIEW_GUIDE.md	8	triple_backticks_in_docs
docs/deployment/MINIO_DEV.md	8	secrets_like
docs/audit/provenance/phase7e_provenance.jsonld	7	internal_phase_refs,personal_identifiers
.env.example	6	secrets_like
CONTRIBUTING.md	6	triple_backticks_in_docs
docs/ROADMAP.md	6	multi_agent_exposure
docs/reports/2025-08-09-architect-triage.md	6	triple_backticks_in_docs
docs/agent/AGENT_ARCHITECT_GUIDE.md	5	multi_agent_exposure,agent_terms
docs/decisions/ADR-2508-ARC-014.md	5	multi_agent_exposure
docs/phase7i/HANDOFF_FINAL_20250909-203726.md	5	internal_phase_refs,triple_backticks_in_docs,agent_terms
docs/phase7i/STATUS.md	5	internal_phase_refs,agent_terms,personal_identifiers
docs/reference/system-reference-document.md	5	agent_terms,personal_identifiers,multi_agent_exposure
docs/phase7t/PROVENANCE_README.md	4	internal_phase_refs,secrets_like
open-darf-wc/docker-compose.yml	4	secrets_like
ops/compose/compose.yml	4	secrets_like
scripts/phase7t/minio_check.sh	4	secrets_like,internal_phase_refs
.github/workflows/phase7d.yml	3	internal_phase_refs
Makefile	3	agent_terms,internal_phase_refs
docs/ROADMAP.prev.20250822T201628Z.md	3	agent_terms,personal_identifiers
docs/agent/handoff_2025-09-05_impl_to_architect.md	3	internal_phase_refs
