darf/pure	pt212-cu121-compatrepo.v3	f3c7cadf0497	<none>
darf/pure	pt212-cu121-runtime	88b21d95a12d	<none>
darf/pure	cu121-py38-fixed	0e29e9796e8a	<none>
darf/pure	cu118-py38-compat	5bde5da57b60	<none>
darf/pure	cu118-py38-auto	45528120914b	<none>
darf/pure	cu118-py38-fixed	45528120914b	<none>
darf/pure	pt1.11-cu113-min	c7026e393a38	<none>
darf/pure	py37-bullseye	ce7f68daf1cf	<none>
postgres	15	b3d48187cc8a	sha256:31e60cbedcb3baa718f758db049e9111494f5ef8e9c18f52a95db746a68ef049
postgres	16-alpine	31d86079818e	sha256:1c6d2f6e4d30d49c529e09a627e8178db5011dde88d955eb08db2e135e64aa09
postgres	15-alpine	2729b24d4bbc	sha256:dfcf0459185089e88a43197975780f5a3078acd5ece84824a14c9d6fbbab02d0
minio/mc	latest	c2ad77420d33	sha256:a7fe349ef4bd8521fb8497f55c6042871b2ae640607cf99d9bede5e9bdf11727
neo4j	5	18a62aa37d5d	sha256:6819749f84847681d8ad2a0af4f5a3d426b054cd2f93e6116fc90f4b1a7a6f67
postgres	16	4b802c5161dd	sha256:66a5efb5677ffac1037774a0e141fd3a4c035c9c0c0e624c9cc980dfa10f45e5
qdrant/qdrant	latest	da08c55ae1ec	sha256:31407c0e8e32eb771b71718f1a4772e2ad47a07557917b21ac96792f40eb8007
neo4j	5-community	768466c3a6cf	sha256:225b14923479dde15797534ee887d9950077308f6b56c96d2fb0daf3a2194814
minio/minio	latest	a98a9d647e70	sha256:d249d1fb6966de4d8ad26c04754b545205ff15a62e4fd19ebd0f26fa5baacbc0
alpine	3.19	f23794abfe89	sha256:3be987e6cde1d07e873c012bf6cfe941e6e85d16ca5fc5b8bedc675451d2de67
alpine	latest	9234e8fb04c4	sha256:4bcff63911fcb4448bd4fdacec207030997caf25e9bea4045fa6c8c44de311d1
redis	7	56825e2b84a2	sha256:4421962706d7a901cbd435282515704040203d67c653160e3a46a27b79c40e19
qdrant/qdrant	v1.12.5	449e32141460	sha256:05fecce7dce45d1254e0468bc037e8210e187fd56fa847688b012293d5f08aae
nvidia/cuda	12.6.2-runtime-ubuntu22.04	19796c4b3082	sha256:b4506fed312e533afe2fc310e789744a9f4f5bd25d999c1ae2a2025fc48ee223
busybox	latest	0ed463b26dae	sha256:ab33eacc8251e3807b85bb6dba570e4698c3998eca6f0fc2ccb60575a563ea74
pytorch/pytorch	2.4.1-cuda12.1-cudnn9-runtime	d4fb707a1b5f	sha256:ac7c098a81512e719afa5d2d497f812d7db3498f340a4b819c69cb7b3b257126
pytorch/pytorch	2.3.1-cuda12.1-cudnn8-runtime	2d1dee23cc95	sha256:fc47f8018254e6df30f48c48f2db1c758d44de21a8c553de1a1c451a65baa70a
neo4j	5.20	74bd42913597	sha256:52d3dec8d45585b21edeca8517d752b2512e52aa94f80fc36a5788c88c95f8e4
nvidia/cuda	12.4.1-base-ubuntu22.04	ca14dc8401b6	sha256:0f6bfcbf267e65123bcc2287e2153dedfc0f24772fb5ce84afe16ac4b2fada95
nvcr.io/nvidia/cuda	12.4.1-base-ubuntu22.04	ca14dc8401b6	sha256:0f6bfcbf267e65123bcc2287e2153dedfc0f24772fb5ce84afe16ac4b2fada95
neo4j	5.15-community	885f86d3ddb8	sha256:d9e2fb1ba398536e50d22ebc3d5d585baa086c1c0cf8e5b96bdc9e11e87e002a
pytorch/pytorch	2.1.2-cuda11.8-cudnn8-runtime	b097a8c26428	sha256:971fbeae82c0a5a7a970a264a8b8ce1c3426aa79df7111004ad2bc2640f7d89c
pytorch/pytorch	2.1.2-cuda12.1-cudnn8-runtime	96d3e8fcea30	sha256:3387e598cb94fc248d82e712a65b10931a990cea3a2e76362ca30d135f565de4
nvidia/cuda	11.8.0-runtime-ubuntu22.04	d8fb74ecc8b2	sha256:eaaccb3528ceca110601131434ab467e41d694a41e8c9bf280fb27ac18fcb29b
nvidia/cuda	12.1.1-runtime-ubuntu20.04	f8be1872e26a	sha256:47f0e6694c2850578c6ef9a845ce5e847fdb9eb2d7f785e499b00d33311f3524
nvidia/cuda	12.1.1-runtime-ubuntu22.04	0495908f9381	sha256:8bbc6e304b193e84327fa30d93eea70ec0213b808239a46602a919a479a73b12
nvidia/cuda	12.1.1-base-ubuntu20.04	addfa398a687	sha256:fa864b7a8a26be267f39f1afc0294768121a3b658b986f560e754eff0216bef0
